,XXBTZCAD,XXMRZUSD,XETHZUSD,XXMRZEUR,XXMRXXBT,XMLNXETH,XETHZJPY,XZECZEUR,GNOXBT,XXRPZUSD,XLTCZUSD,XREPXETH,XXBTZGBP,XETHXXBT,EOSXBT,XZECZUSD,XETHZCAD,XETCXXBT,XETHZGBP,BCHEUR,XXDGXXBT,XXBTZEUR,XLTCZEUR,XETCXETH,XLTCXXBT,XXBTZJPY,GNOETH,XETHZEUR,DASHXBT,XXLMXXBT,XETCZEUR,XMLNXXBT,BCHUSD,XICNXETH,XXRPXXBT,XREPXXBT,XXRPZEUR,EOSETH,DASHEUR,XICNXXBT,XETCZUSD,XREPZEUR,XZECXXBT,DASHUSD,XXBTZUSD,BCHXBT,USDTZUSD
1515537262.98,17710.00000,429.19000000,1241.73000,360.00000000,0.02926000,0.18896000,153614.00000,556.00000,0.02647000,2.10000000,249.08000,0.075000,9686.90000,0.085210,0.00064000,662.00000,1509.87000,0.00260000,666.08000,2005.100000,0.000000950,12252.60000,210.15000,0.03000100,0.01716000,1800000.000,0.29400000,1039.97000,0.07663000,0.000040000,31.54100000,0.01699900,2383.100000,0.004065,0.000143500,0.006465,1.75004000,0.00767400,920.000000,0.000342,36.87500000,80.79400,0.045130,1087.143000,14574.30000,0.16343000,1.00420000
1515537350.28,17710.00000,429.19000000,1241.73000,360.00000000,0.02926000,0.18896000,153614.00000,556.00000,0.02647000,2.10000000,249.08000,0.075000,9686.90000,0.085210,0.00064000,662.00000,1509.87000,0.00260000,666.08000,2005.100000,0.000000950,12252.60000,210.15000,0.03000100,0.01716000,1800000.000,0.29400000,1039.97000,0.07663000,0.000040000,31.54100000,0.01699900,2383.100000,0.004065,0.000143500,0.006465,1.75004000,0.00767400,920.000000,0.000342,36.87500000,80.79400,0.045130,1087.143000,14574.30000,0.16343000,1.00420000
1515537415.71,17710.00000,429.19000000,1241.73000,360.00000000,0.02926000,0.18896000,153614.00000,556.00000,0.02647000,2.10000000,249.08000,0.075000,9686.90000,0.085210,0.00064000,662.00000,1509.87000,0.00260000,666.08000,2005.100000,0.000000950,12252.60000,210.15000,0.03000100,0.01716000,1800000.000,0.29400000,1039.97000,0.07663000,0.000040000,31.54100000,0.01699900,2383.100000,0.004065,0.000143500,0.006465,1.75004000,0.00767400,920.000000,0.000342,36.87500000,80.79400,0.045130,1087.143000,14574.30000,0.16343000,1.00420000
1515537423.51,17710.00000,429.19000000,1241.73000,360.00000000,0.02926000,0.18896000,153614.00000,556.00000,0.02647000,2.10000000,249.08000,0.075000,9686.90000,0.085210,0.00064000,662.00000,1509.87000,0.00260000,666.08000,2005.100000,0.000000950,12252.60000,210.15000,0.03000100,0.01716000,1800000.000,0.29400000,1039.97000,0.07663000,0.000040000,31.54100000,0.01699900,2383.100000,0.004065,0.000143500,0.006465,1.75004000,0.00767400,920.000000,0.000342,36.87500000,80.79400,0.045130,1087.143000,14574.30000,0.16343000,1.00420000
1515537432.75,17710.00000,429.19000000,1241.73000,360.00000000,0.02926000,0.18896000,153614.00000,556.00000,0.02647000,2.10000000,249.08000,0.075000,9686.90000,0.085210,0.00064000,662.00000,1509.87000,0.00260000,666.08000,2005.100000,0.000000950,12252.60000,210.15000,0.03000100,0.01716000,1800000.000,0.29400000,1039.97000,0.07663000,0.000040000,31.54100000,0.01699900,2383.100000,0.004065,0.000143500,0.006465,1.75004000,0.00767400,920.000000,0.000342,36.87500000,80.79400,0.045130,1087.143000,14574.30000,0.16343000,1.00420000
1515537465.65,17710.00000,429.19000000,1241.73000,360.00000000,0.02926000,0.18896000,153614.00000,556.00000,0.02647000,2.10000000,249.08000,0.075000,9686.90000,0.085210,0.00064000,662.00000,1509.87000,0.00260000,666.08000,2005.100000,0.000000950,12252.60000,210.15000,0.03000100,0.01716000,1800000.000,0.29400000,1039.97000,0.07663000,0.000040000,31.54100000,0.01699900,2383.100000,0.004065,0.000143500,0.006465,1.75004000,0.00767400,920.000000,0.000342,36.87500000,80.79400,0.045130,1087.143000,14574.30000,0.16343000,1.00420000
1515537478.96,17710.00000,429.19000000,1241.73000,360.00000000,0.02926000,0.18896000,153614.00000,556.00000,0.02647000,2.10000000,249.08000,0.075000,9686.90000,0.085210,0.00064000,662.00000,1509.87000,0.00260000,666.08000,2005.100000,0.000000950,12252.60000,210.15000,0.03000100,0.01716000,1800000.000,0.29400000,1039.97000,0.07663000,0.000040000,31.54100000,0.01699900,2383.100000,0.004065,0.000143500,0.006465,1.75004000,0.00767400,920.000000,0.000342,36.87500000,80.79400,0.045130,1087.143000,14574.30000,0.16343000,1.00420000
1515537508.38,17710.00000,429.19000000,1241.73000,360.00000000,0.02926000,0.18896000,153614.00000,556.00000,0.02647000,2.10000000,249.08000,0.075000,9686.90000,0.085210,0.00064000,662.00000,1509.87000,0.00260000,666.08000,2005.100000,0.000000950,12252.60000,210.15000,0.03000100,0.01716000,1800000.000,0.29400000,1039.97000,0.07663000,0.000040000,31.54100000,0.01699900,2383.100000,0.004065,0.000143500,0.006465,1.75004000,0.00767400,920.000000,0.000342,36.87500000,80.79400,0.045130,1087.143000,14574.30000,0.16343000,1.00420000
1515537521.11,17710.00000,429.19000000,1241.73000,360.00000000,0.02926000,0.18896000,153614.00000,556.00000,0.02647000,2.10000000,249.08000,0.075000,9686.90000,0.085210,0.00064000,662.00000,1509.87000,0.00260000,666.08000,2005.100000,0.000000950,12252.60000,210.15000,0.03000100,0.01716000,1800000.000,0.29400000,1039.97000,0.07663000,0.000040000,31.54100000,0.01699900,2383.100000,0.004065,0.000143500,0.006465,1.75004000,0.00767400,920.000000,0.000342,36.87500000,80.79400,0.045130,1087.143000,14574.30000,0.16343000,1.00420000
1515537535.5,17710.00000,429.19000000,1241.73000,360.00000000,0.02926000,0.18896000,153614.00000,556.00000,0.02647000,2.10000000,249.08000,0.075000,9686.90000,0.085210,0.00064000,662.00000,1509.87000,0.00260000,666.08000,2005.100000,0.000000950,12252.60000,210.15000,0.03000100,0.01716000,1800000.000,0.29400000,1039.97000,0.07663000,0.000040000,31.54100000,0.01699900,2383.100000,0.004065,0.000143500,0.006465,1.75004000,0.00767400,920.000000,0.000342,36.87500000,80.79400,0.045130,1087.143000,14574.30000,0.16343000,1.00420000
1515537547.78,17701.00000,423.62000000,1272.80000,356.30000000,0.02919700,0.19699000,161029.00000,549.50000,0.02629000,2.03000000,246.40000,0.073800,9686.90000,0.087300,0.00064390,654.73000,1539.87000,0.00252400,666.08000,2000.000000,0.000000930,12200.00000,206.99000,0.02890000,0.01684800,1821790.000,0.30000000,1060.00000,0.07566000,0.000039200,30.53000000,0.01590000,2371.700000,0.004180,0.000140000,0.006467,1.69990000,0.00749100,921.247000,0.000360,36.72900000,79.40000,0.045500,1098.917000,14586.00000,0.16306000,1.00550000
1515537558.88,17701.00000,423.62000000,1272.80000,356.30000000,0.02919700,0.19699000,161029.00000,549.50000,0.02629000,2.03000000,246.40000,0.073800,9686.90000,0.087300,0.00064390,654.73000,1539.87000,0.00252400,666.08000,2000.000000,0.000000930,12200.00000,206.99000,0.02890000,0.01684800,1821790.000,0.30000000,1060.00000,0.07566000,0.000039200,30.53000000,0.01590000,2371.700000,0.004180,0.000140000,0.006467,1.69990000,0.00749100,921.247000,0.000360,36.72900000,79.40000,0.045500,1098.917000,14586.00000,0.16306000,1.00550000
1515537562.67,17701.00000,423.62000000,1272.80000,356.30000000,0.02919700,0.19699000,161029.00000,549.50000,0.02629000,2.03000000,246.40000,0.073800,9686.90000,0.087300,0.00064390,654.73000,1539.87000,0.00252400,666.08000,2000.000000,0.000000930,12200.00000,206.99000,0.02890000,0.01684800,1821790.000,0.30000000,1060.00000,0.07566000,0.000039200,30.53000000,0.01590000,2371.700000,0.004180,0.000140000,0.006467,1.69990000,0.00749100,921.247000,0.000360,36.72900000,79.40000,0.045500,1098.917000,14586.00000,0.16306000,1.00550000
1515537567.75,17701.00000,423.62000000,1272.80000,356.30000000,0.02919700,0.19699000,161029.00000,549.50000,0.02629000,2.03000000,246.40000,0.073800,9686.90000,0.087300,0.00064390,654.73000,1539.87000,0.00252400,666.08000,2000.000000,0.000000930,12200.00000,206.99000,0.02890000,0.01684800,1821790.000,0.30000000,1060.00000,0.07566000,0.000039200,30.53000000,0.01590000,2371.700000,0.004180,0.000140000,0.006467,1.69990000,0.00749100,921.247000,0.000360,36.72900000,79.40000,0.045500,1098.917000,14586.00000,0.16306000,1.00550000
1515537578.67,17701.00000,423.62000000,1272.80000,356.30000000,0.02919700,0.19699000,161029.00000,549.50000,0.02629000,2.03000000,246.40000,0.073800,9686.90000,0.087300,0.00064390,654.73000,1539.87000,0.00252400,666.08000,2000.000000,0.000000930,12200.00000,206.99000,0.02890000,0.01684800,1821790.000,0.30000000,1060.00000,0.07566000,0.000039200,30.53000000,0.01590000,2371.700000,0.004180,0.000140000,0.006467,1.69990000,0.00749100,921.247000,0.000360,36.72900000,79.40000,0.045500,1098.917000,14586.00000,0.16306000,1.00550000
